Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,279,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:56.930680 PM",-72.000 dBm (weak),
,280,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:56.931706 PM",-78.000 dBm (weak),
,281,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.354629",="02-Oct-17 5:32:57.286335 PM",-76.000 dBm (weak),
,282,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:57.287362 PM",-73.000 dBm (weak),
,283,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:57.288388 PM",-79.000 dBm (weak),
,284,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.356434",="02-Oct-17 5:32:57.644822 PM",-78.000 dBm (weak),
,285,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.351739",="02-Oct-17 5:32:57.996561 PM",-77.000 dBm (weak),
,286,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:57.997589 PM",-72.000 dBm (weak),
,287,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.359713",="02-Oct-17 5:32:58.357302 PM",-73.000 dBm (weak),
,288,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:58.358327 PM",-78.000 dBm (weak),
,289,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.352554",="02-Oct-17 5:32:58.710882 PM",-76.000 dBm (weak),
,290,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:58.711909 PM",-72.000 dBm (weak),
,291,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:58.712935 PM",-78.000 dBm (weak),
,292,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.355616",="02-Oct-17 5:32:59.068551 PM",-76.000 dBm (weak),
,293,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:59.069579 PM",-73.000 dBm (weak),
,294,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:59.070605 PM",-78.000 dBm (weak),
,295,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.350982",="02-Oct-17 5:32:59.421586 PM",-76.000 dBm (weak),
,296,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:59.422614 PM",-72.000 dBm (weak),
,297,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:59.423640 PM",-78.000 dBm (weak),
,298,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.353282",="02-Oct-17 5:32:59.776921 PM",-75.000 dBm (weak),
,299,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:59.777949 PM",-72.000 dBm (weak),
,300,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:59.778975 PM",-79.000 dBm (weak),
,301,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.348494",="02-Oct-17 5:33:00.127469 PM",-75.000 dBm (weak),
,302,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:33:00.128497 PM",-73.000 dBm (weak),
,303,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:33:00.129522 PM",-78.000 dBm (weak),
,304,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.350509",="02-Oct-17 5:33:00.480031 PM",-76.000 dBm (weak),
,305,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:33:00.481059 PM",-73.000 dBm (weak),
,306,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:33:00.482085 PM",-78.000 dBm (weak),
,307,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.353307",="02-Oct-17 5:33:00.835391 PM",-75.000 dBm (weak),
