Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,6845,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:17.868650 PM",-62.000 dBm (weak),
,6846,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.219256",="03-Oct-17 4:04:19.087905 PM",-68.000 dBm (weak),
,6847,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:19.088602 PM",-62.000 dBm (weak),
,6848,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:19.089299 PM",-63.000 dBm (weak),
,6849,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:01.246150",="03-Oct-17 4:04:20.335449 PM",-32.000 dBm (strong),
,6850,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000325",="03-Oct-17 4:04:20.335774 PM",-63.000 dBm (weak),
,6851,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:04:20.336045 PM",-63.000 dBm (weak),
,6852,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.242732",="03-Oct-17 4:04:21.578777 PM",-69.000 dBm (weak),
,6853,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:21.579474 PM",-63.000 dBm (weak),
,6854,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:21.580171 PM",-62.000 dBm (weak),
,6855,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.272510",="03-Oct-17 4:04:22.852681 PM",-66.000 dBm (weak),
,6856,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:22.853378 PM",-62.000 dBm (weak),
,6857,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="03-Oct-17 4:04:22.853880 PM",-32.000 dBm (strong),
,6858,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:04:22.854206 PM",-63.000 dBm (weak),
,6859,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:04:22.854477 PM",-62.000 dBm (weak),
,6860,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="03-Oct-17 4:04:22.854980 PM",-67.000 dBm (weak),
