Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,241,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.239076",="29-Sep-17 3:53:55.756439 PM",-80.000 dBm (weak),
,242,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.247027",="29-Sep-17 3:53:57.003466 PM",-81.000 dBm (weak),
,243,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:57.004163 PM",-80.000 dBm (weak),
,244,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.251316",="29-Sep-17 3:53:58.255479 PM",-83.000 dBm (weak),
,245,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:58.256176 PM",-79.000 dBm (weak),
,246,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.271362",="29-Sep-17 3:53:59.527538 PM",-82.000 dBm (weak),
,247,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:59.528235 PM",-79.000 dBm (weak),
,248,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.224701",="29-Sep-17 3:54:00.752936 PM",-81.000 dBm (weak),
,249,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:00.753633 PM",-80.000 dBm (weak),
,250,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.231796",="29-Sep-17 3:54:01.985429 PM",-80.000 dBm (weak),
,251,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.263505",="29-Sep-17 3:54:03.248933 PM",-80.000 dBm (weak),
,252,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.232662",="29-Sep-17 3:54:04.481596 PM",-81.000 dBm (weak),
,253,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:04.482293 PM",-80.000 dBm (weak),
,254,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.248141",="29-Sep-17 3:54:05.730433 PM",-80.000 dBm (weak),
