Chan,Timestamp,RSSI
37,13-Nov-17 5:08:54.673557 PM,-37
38,13-Nov-17 5:08:54.674254 PM,-35
38,13-Nov-17 5:08:54.674756 PM,-39
38,13-Nov-17 5:08:54.675082 PM,-36
39,13-Nov-17 5:08:54.675353 PM,-42
37,13-Nov-17 5:08:55.923035 PM,-37
38,13-Nov-17 5:08:55.923732 PM,-35
38,13-Nov-17 5:08:55.924237 PM,-72
38,13-Nov-17 5:08:55.924562 PM,-35
39,13-Nov-17 5:08:55.924833 PM,-42
37,13-Nov-17 5:08:57.153854 PM,-36
37,13-Nov-17 5:08:57.154356 PM,-44
37,13-Nov-17 5:08:57.154682 PM,-37
38,13-Nov-17 5:08:57.154953 PM,-36
39,13-Nov-17 5:08:57.155650 PM,-43
37,13-Nov-17 5:08:58.403981 PM,-37
37,13-Nov-17 5:08:58.404484 PM,-44
37,13-Nov-17 5:08:58.404809 PM,-37
38,13-Nov-17 5:08:58.405081 PM,-36
39,13-Nov-17 5:08:58.405777 PM,-43
37,13-Nov-17 5:08:59.654888 PM,-37
38,13-Nov-17 5:08:59.655585 PM,-35
38,13-Nov-17 5:08:59.656087 PM,-38
38,13-Nov-17 5:08:59.656413 PM,-36
39,13-Nov-17 5:08:59.656684 PM,-43
37,13-Nov-17 5:09:00.893939 PM,-37
38,13-Nov-17 5:09:00.894636 PM,-36
39,13-Nov-17 5:09:00.895333 PM,-43
37,13-Nov-17 5:09:02.135017 PM,-37
38,13-Nov-17 5:09:02.135714 PM,-35
38,13-Nov-17 5:09:02.136217 PM,-39
38,13-Nov-17 5:09:02.136542 PM,-36
39,13-Nov-17 5:09:02.136813 PM,-43
37,13-Nov-17 5:09:03.372195 PM,-37
37,13-Nov-17 5:09:03.372697 PM,-42
37,13-Nov-17 5:09:03.373023 PM,-37
38,13-Nov-17 5:09:03.373294 PM,-35
39,13-Nov-17 5:09:03.373991 PM,-43
39,13-Nov-17 5:09:03.374494 PM,-84
39,13-Nov-17 5:09:03.374821 PM,-42
37,13-Nov-17 5:09:04.622173 PM,-37
38,13-Nov-17 5:09:04.622871 PM,-35
38,13-Nov-17 5:09:04.623373 PM,-38
38,13-Nov-17 5:09:04.623699 PM,-36
39,13-Nov-17 5:09:04.623969 PM,-43
37,13-Nov-17 5:09:05.866580 PM,-37
38,13-Nov-17 5:09:05.867277 PM,-35
38,13-Nov-17 5:09:05.867779 PM,-38
38,13-Nov-17 5:09:05.868105 PM,-35
39,13-Nov-17 5:09:05.868376 PM,-43
37,13-Nov-17 5:09:07.122131 PM,-37
38,13-Nov-17 5:09:07.122828 PM,-35
38,13-Nov-17 5:09:07.123331 PM,-39
38,13-Nov-17 5:09:07.123657 PM,-35
39,13-Nov-17 5:09:07.123928 PM,-42
37,13-Nov-17 5:09:08.359309 PM,-37
38,13-Nov-17 5:09:08.360006 PM,-35
38,13-Nov-17 5:09:08.360509 PM,-38
38,13-Nov-17 5:09:08.360834 PM,-36
39,13-Nov-17 5:09:08.361105 PM,-43
37,13-Nov-17 5:09:09.607038 PM,-36
37,13-Nov-17 5:09:09.607540 PM,-44
37,13-Nov-17 5:09:09.607866 PM,-37
38,13-Nov-17 5:09:09.608137 PM,-35
39,13-Nov-17 5:09:09.608834 PM,-43
37,13-Nov-17 5:09:10.853566 PM,-37
37,13-Nov-17 5:09:10.854069 PM,-44
37,13-Nov-17 5:09:10.854395 PM,-37
38,13-Nov-17 5:09:10.854667 PM,-35
39,13-Nov-17 5:09:10.855363 PM,-43
37,13-Nov-17 5:09:12.094745 PM,-37
37,13-Nov-17 5:09:12.095248 PM,-44
37,13-Nov-17 5:09:12.095573 PM,-37
38,13-Nov-17 5:09:12.095844 PM,-35
39,13-Nov-17 5:09:12.096541 PM,-43
37,13-Nov-17 5:09:13.345424 PM,-37
37,13-Nov-17 5:09:13.345926 PM,-44
37,13-Nov-17 5:09:13.346252 PM,-37
38,13-Nov-17 5:09:13.346523 PM,-35
39,13-Nov-17 5:09:13.347220 PM,-43
37,13-Nov-17 5:09:14.585902 PM,-36
38,13-Nov-17 5:09:14.586599 PM,-35
38,13-Nov-17 5:09:14.587101 PM,-38
38,13-Nov-17 5:09:14.587427 PM,-36
39,13-Nov-17 5:09:14.587698 PM,-43
37,13-Nov-17 5:09:15.829509 PM,-37
37,13-Nov-17 5:09:15.830012 PM,-91
37,13-Nov-17 5:09:15.830338 PM,-37
38,13-Nov-17 5:09:15.830609 PM,-35
38,13-Nov-17 5:09:15.831112 PM,-38
38,13-Nov-17 5:09:15.831437 PM,-35
39,13-Nov-17 5:09:15.831708 PM,-43
37,13-Nov-17 5:09:17.082414 PM,-37
37,13-Nov-17 5:09:17.082916 PM,-44
37,13-Nov-17 5:09:17.083242 PM,-37
38,13-Nov-17 5:09:17.083514 PM,-35
39,13-Nov-17 5:09:17.084210 PM,-43
37,13-Nov-17 5:09:18.325516 PM,-37
